offset, ta, tb
4, 0.01701, 0.06524
5, 0.01782, 0.0646
6, 0.0192, 0.06057
8, 0.02241, 0.05816
9, 0.02356, 0.0572
10, 0.02455, 0.05687
11, 0.0229, 0.0491
12, 0.02455, 0.04745
14, 0.02717, 0.04432
15, 0.02731, 0.04487
16, 0.028, 0.04432
17, 0.02979, 0.04414
22, 0.03549, 0.03972
24, 0.03641, 0.03733
25, 0.03807, 0.03733
26, 0.03899, 0.03697
27, 0.03991, 0.03605
28, 0.03991, 0.03531
30, 0.04303, 0.03476
31, 0.04359, 0.03384
32, 0.04469, 0.03145
33, 0.04349, 0.02834
34, 0.04366, 0.02963
35, 0.04382, 0.02851
36, 0.04575, 0.02883
37, 0.04752, 0.02883
38, 0.04816, 0.02722
39, 0.04832, 0.02561
41, 0.04977, 0.02545
42, 0.04913, 0.02303
43, 0.05057, 0.02754
44, 0.05333, 0.02225
45, 0.05297, 0.01949
46, 0.0526, 0.01968
47, 0.05389, 0.02207
48, 0.05536, 0.01802
49, 0.05609, 0.01655
50, 0.05575, 0.01637
